id,player_name,15-16_games,15-16_mins_played,15-16_goals,15-16_goals_per_90,15-16_npg,15-16_npg_per_90,15-16_xG,15-16_xG_per_90,15-16_npxG,15-16_npxG_per_90,15-16_assists,15-16_assists_per_90,15-16_xA,15-16_xA_per_90,15-16_xGChain,15-16_xGChain_per_90,15-16_xGBuildup,15-16_xGBuildup_per_90,15-16_shots,15-16_shots_per_90,15-16_key_passes,15-16_key_passes_per_90,15-16_yellow_cards,15-16_red_cards,15-16_team,15-16_league,15-16_transferred
2078,Ricardo Costa,14,1251,1,0.0719424460431654,1,0.0719424460431654,0.7840648712590337,0.0564075446948945,0.7840648712590337,0.0564075446948945,0,0.0,0.8050859477370977,0.0579198523551868,0.4105873163789511,0.0295386558546007,0.3981432374566793,0.0286433983781783,9,0.6474820143884893,3,0.2158273381294964,7,0,Granada,LaLiga,No
2338,Ricardo Horta,17,780,0,0.0,0,0.0,1.5343982949852943,0.1770459571136878,1.5343982949852943,0.1770459571136878,0,0.0,0.2606037855148315,0.0300696675594036,3.548460263758898,0.4094377227414112,2.011570652015507,0.2321043060017893,18,2.076923076923077,8,0.9230769230769232,2,0,Malaga,LaLiga,No
1564,Ricardo Kishna,11,564,2,0.3191489361702128,2,0.3191489361702128,1.0032620169222357,0.1600950027003567,1.0032620169222357,0.1600950027003567,0,0.0,1.582655344158411,0.2525513847061294,2.01861921697855,0.322120087815726,0.4291975703090429,0.0684889739854855,9,1.4361702127659572,13,2.074468085106383,0,0,Lazio,Serie_A,No
3303,Ricardo Pereira,26,2280,0,0.0,0,0.0,0.3894857838749885,0.0153744388371706,0.3894857838749885,0.0153744388371706,4,0.1578947368421052,1.8520785626024008,0.0731083643132526,9.216669503599404,0.3638159014578712,7.781938381493092,0.3071817782168325,3,0.1184210526315789,16,0.631578947368421,6,0,Nice,Ligue1,No
308,Ricardo Rodríguez,24,2068,2,0.0870406189555125,0,0.0,2.081355690956116,0.0905812438036994,0.5658023450523615,0.024623893159919,3,0.1305609284332688,3.34190683811903,0.1454408198407701,7.6361647844314575,0.3323282546416011,5.75398844666779,0.2504153579304164,26,1.1315280464216635,36,1.5667311411992264,3,0,Wolfsburg,Bundesliga,No
1231,Ricardo Álvarez,13,810,1,0.1111111111111111,1,0.1111111111111111,0.7967050690203905,0.08852278544671,0.7967050690203905,0.08852278544671,1,0.1111111111111111,0.6241204347461462,0.069346714971794,2.1806620657444,0.2422957850827111,1.2437265198677778,0.1381918355408642,14,1.5555555555555554,16,1.7777777777777777,2,0,Sampdoria,Serie_A,No
1105,Riccardo Fiamozzi,8,473,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3989947866648435,0.0759186697670949,1.3061227276921272,0.2485222949097071,0.9792002215981483,0.1863171669002819,0,0.0,3,0.5708245243128964,1,0,Genoa,Serie_A,No
1896,Riccardo Gagliolo,31,2633,1,0.0341815419673376,1,0.0341815419673376,0.97648987127468,0.0333779295156556,0.97648987127468,0.0333779295156556,0,0.0,0.4615539461374283,0.0157766255800868,3.3296219017356634,0.1138116107695441,2.9043937008827925,0.0992766551763962,12,0.4101785036080516,13,0.4443600455753893,11,1,Carpi,Serie_A,No
1337,Riccardo Meggiorini,26,1663,5,0.2705953096812988,5,0.2705953096812988,3.6802392723038793,0.1991710971180692,3.6802392723038793,0.1991710971180692,7,0.3788334335538184,4.017279041931033,0.2174113732855039,7.532299771904945,0.4076409978781991,1.491998585872352,0.0807455638776378,38,2.0565243535778714,27,1.4612146722790138,8,1,Chievo,Serie_A,No
1573,Riccardo Montolivo,31,2694,0,0.0,0,0.0,0.6952965576201677,0.0232281700763975,0.6952965576201677,0.0232281700763975,1,0.0334075723830734,0.8276242422871292,0.0276489167801936,9.490712530910969,0.3170616658433509,8.393493592739105,0.2804062447462953,29,0.9688195991091314,19,0.6347438752783964,5,0,AC Milan,Serie_A,No
